,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
15631,21,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,582
15633,51,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",920,582
16280,40,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",200,582
12126,37,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",451,582
13915,23,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",524,582
16310,18,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,582
16484,53,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,582
12501,33,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,582
12351,22,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",586,583
13462,20,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",155,583
13859,41,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,583
16453,50,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",524,583
15648,18,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,583
16317,18,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",460,583
15706,44,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",474,583
13127,42,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",330,583
16311,17,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",472,583
15477,25,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,583
