,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
15477,25,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",411,1226
15648,18,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",411,1226
16317,18,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",460,1226
16280,40,2,6,"[""2"" - ""8""]",260,"[""12"" - ""74""]","[""6"" - ""10""]",200,1226
15631,21,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",360,1226
16310,18,2,6,"[""2"" - ""8""]",517,"[""12"" - ""74""]","[""6"" - ""10""]",402,1226
13915,23,2,6,"[""2"" - ""8""]",513,"[""12"" - ""74""]","[""6"" - ""10""]",524,1226
15633,51,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",920,1226
16453,50,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",524,1226
13859,41,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",411,1226
13462,20,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",155,1226
16484,53,2,6,"[""2"" - ""8""]",521,"[""12"" - ""74""]","[""6"" - ""10""]",360,1226
12351,22,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",586,1226
12126,37,2,6,"[""2"" - ""8""]",502,"[""12"" - ""74""]","[""6"" - ""10""]",451,1226
16311,17,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",472,1226
15706,44,2,6,"[""2"" - ""8""]",6,"[""12"" - ""74""]","[""6"" - ""10""]",474,1226
13127,42,2,6,"[""2"" - ""8""]",48,"[""12"" - ""74""]","[""6"" - ""10""]",330,1226
12501,33,2,6,"[""2"" - ""8""]",521,"[""12"" - ""74""]","[""6"" - ""10""]",402,1226
15693,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",423,1227
12886,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",600,"[""12"" - ""74""]","[""1"" - ""6""]",552,1227
16198,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",472,1227
12060,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",420,1227
13920,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",300,"[""12"" - ""74""]","[""1"" - ""6""]",423,1227
15997,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",880,1227
14112,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",472,1227
12142,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",254,1227
16482,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",422,1227
13191,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",406,1228
12898,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]",515,"[""12"" - ""74""]","[""1"" - ""6""]",962,1228
