,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
15631,21,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,910
15633,51,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",920,910
16280,40,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",200,910
12126,37,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",451,910
13915,23,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",524,910
16310,18,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,910
16484,53,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,910
12501,33,2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,910
12351,22,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",586,911
13462,20,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",155,911
13859,41,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,911
16453,50,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",524,911
15648,18,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,911
16317,18,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",460,911
15706,44,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",474,911
13127,42,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",330,911
16311,17,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",472,911
15477,25,2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,911
15693,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",423,912
12886,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",600,"[""12"" - ""74""]","[""1"" - ""6""]",552,912
16198,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",472,912
12060,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",420,912
13920,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",300,"[""12"" - ""74""]","[""1"" - ""6""]",423,912
15997,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",880,912
14112,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",472,912
