,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
15477,25,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",411,1531
15648,18,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",411,1531
16317,18,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",460,1531
16280,40,2,6,"[""2"" - ""8""]",260,"[""12"" - ""74""]","[""6"" - ""10""]",200,1531
15631,21,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",360,1531
16310,18,2,6,"[""2"" - ""8""]",517,"[""12"" - ""74""]","[""6"" - ""10""]",402,1531
13915,23,2,6,"[""2"" - ""8""]",513,"[""12"" - ""74""]","[""6"" - ""10""]",524,1531
15633,51,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",920,1531
16453,50,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""6"" - ""10""]",524,1531
13859,41,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",411,1531
13462,20,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",155,1531
16484,53,2,6,"[""2"" - ""8""]",521,"[""12"" - ""74""]","[""6"" - ""10""]",360,1531
12351,22,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""6"" - ""10""]",586,1531
12126,37,2,6,"[""2"" - ""8""]",502,"[""12"" - ""74""]","[""6"" - ""10""]",451,1531
16311,17,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""6"" - ""10""]",472,1531
15706,44,2,6,"[""2"" - ""8""]",6,"[""12"" - ""74""]","[""6"" - ""10""]",474,1531
13127,42,2,6,"[""2"" - ""8""]",48,"[""12"" - ""74""]","[""6"" - ""10""]",330,1531
12501,33,2,6,"[""2"" - ""8""]",521,"[""12"" - ""74""]","[""6"" - ""10""]",402,1531
13920,33,2,6,"[""2"" - ""8""]",300,"[""12"" - ""74""]","[""1"" - ""6""]",423,1532
16482,62,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",422,1532
14112,46,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",472,1532
12898,16,2,6,"[""2"" - ""8""]",515,"[""12"" - ""74""]","[""1"" - ""6""]",962,1532
15573,16,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",516,1532
13921,17,2,6,"[""2"" - ""8""]",48,"[""12"" - ""74""]","[""1"" - ""6""]",540,1532
15693,25,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",423,1532
16512,18,2,6,"[""2"" - ""8""]",6,"[""12"" - ""74""]","[""1"" - ""6""]",586,1532
13191,16,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",406,1532
15618,18,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",540,1532
12143,18,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",422,1532
2083,22,2,6,"[""2"" - ""8""]",210,"[""12"" - ""74""]","[""1"" - ""6""]",854,1532
12354,18,2,6,"[""2"" - ""8""]",27,"[""12"" - ""74""]","[""1"" - ""6""]",476,1532
12060,27,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",420,1532
12142,47,2,6,"[""2"" - ""8""]",2,"[""12"" - ""74""]","[""1"" - ""6""]",254,1532
12886,25,2,6,"[""2"" - ""8""]",600,"[""12"" - ""74""]","[""1"" - ""6""]",552,1532
16203,17,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",823,1532
3546,18,2,6,"[""2"" - ""8""]",1,"[""12"" - ""74""]","[""1"" - ""6""]",494,1532
16199,19,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",472,1532
16198,27,2,6,"[""2"" - ""8""]",4,"[""12"" - ""74""]","[""1"" - ""6""]",472,1532
16312,17,2,6,"[""2"" - ""8""]",200,"[""12"" - ""74""]","[""1"" - ""6""]",472,1532
